epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,2081.69,0.81291,0.48831,1.15755,0.91486,0.87534,0.92469,0.57319,1.44238,0.6921,1.67711,0.000416,0.000416,0.000416
82,2107.9,0.82938,0.49827,1.1599,0.93688,0.88491,0.94218,0.58306,1.37826,0.62719,1.59839,0.0003962,0.0003962,0.0003962
83,2134.08,0.81444,0.48293,1.14029,0.95862,0.87899,0.94637,0.56359,1.43967,0.64396,1.65795,0.0003764,0.0003764,0.0003764
84,2160.65,0.80697,0.47981,1.14689,0.96034,0.85312,0.92537,0.55001,1.48369,0.70129,1.71709,0.0003566,0.0003566,0.0003566
85,2187.22,0.79681,0.47714,1.14391,0.94784,0.89702,0.94481,0.56649,1.44103,0.65978,1.67378,0.0003368,0.0003368,0.0003368
86,2213.22,0.79351,0.48234,1.14441,0.95945,0.83361,0.92324,0.54664,1.47932,0.70005,1.73703,0.000317,0.000317,0.000317
87,2239.77,0.79788,0.47285,1.13459,0.95319,0.82782,0.91487,0.55766,1.48559,0.71698,1.73738,0.0002972,0.0002972,0.0002972
88,2265.93,0.77853,0.45904,1.13204,0.89087,0.88495,0.92046,0.54711,1.49948,0.70746,1.75904,0.0002774,0.0002774,0.0002774
89,2292.33,0.79274,0.46548,1.1326,0.92987,0.88076,0.93624,0.57092,1.43412,0.65755,1.69674,0.0002576,0.0002576,0.0002576
90,2318.46,0.77826,0.45772,1.12615,0.9233,0.87263,0.93143,0.56485,1.4771,0.69056,1.74032,0.0002378,0.0002378,0.0002378
91,2364.97,0.64583,0.36876,1.09683,0.93748,0.85335,0.91793,0.54057,1.49322,0.69291,1.76049,0.000218,0.000218,0.000218
92,2390.12,0.6223,0.34013,1.06334,0.94855,0.85908,0.92414,0.54097,1.46903,0.66398,1.73923,0.0001982,0.0001982,0.0001982
93,2419.57,0.60897,0.3235,1.05808,0.93983,0.85366,0.91588,0.53854,1.50136,0.68462,1.78534,0.0001784,0.0001784,0.0001784
94,2447.29,0.61618,0.33233,1.05817,0.94031,0.85095,0.9244,0.54495,1.47879,0.67503,1.76509,0.0001586,0.0001586,0.0001586
95,2474.89,0.59068,0.31564,1.05346,0.93584,0.86968,0.92134,0.54178,1.48653,0.69347,1.7814,0.0001388,0.0001388,0.0001388
96,2503.19,0.58048,0.31103,1.0449,0.94646,0.85908,0.92474,0.54988,1.47576,0.68376,1.75628,0.000119,0.000119,0.000119
97,2531.36,0.58659,0.31091,1.04541,0.94764,0.8916,0.93089,0.558,1.47043,0.66503,1.73867,9.92e-05,9.92e-05,9.92e-05
98,2559.02,0.58118,0.30925,1.03725,0.9377,0.88889,0.92813,0.55558,1.4791,0.66644,1.75154,7.94e-05,7.94e-05,7.94e-05
99,2586.24,0.57531,0.31172,1.03112,0.94941,0.86179,0.92552,0.55128,1.48643,0.66986,1.77232,5.96e-05,5.96e-05,5.96e-05
100,2613.26,0.56833,0.31393,1.03873,0.95017,0.87841,0.93883,0.55519,1.46804,0.65856,1.73872,3.98e-05,3.98e-05,3.98e-05
